Identifier,Forename,Surname,BirthDate,BirthPlace,DeathDate,DeathPlace
"pap28","Seymour","Papert","1928-02-29","Pretoria","2016-07-31","Blue Hill, Maine"
"war28","Andy","Warhol","1928-08-06","Pittsburgh/PA","1987-02-22","New York City"
"mue29","Heiner","Müller","1929-01-09","Eppendorf/Sachsen","1995-12-30","Berlin"
"deb31","Guy","Debord","1931-12-28","Paris","1994-11-30","Bellevue-la-Montagne/Haute-Loire"
"lut32","Theo","Lutz","1932-07-23","","2010-01-31","Esslingen am Neckar"
"upd32","John","Updike","1932-03-18","Reading, Pennsylvania","2009-01-27","Danvers, Massachusetts"
"son33","Susan","Sontag","1933-01-16","New York City","2004-12-28","New York City"
"gun33","Rul","Gunzenhäuser","1933-09-04","Stuttgart","2018-02-14",""
"doe34","Reinhard","Döhl","1934-09-16","Wattenscheid","2004-05-29","Stuttgart"
"bra35","Richard","Brautigan","1935-01-30","Tacoma, Washington","1984-09-16","Bolinas, California"
"bue36","Peter","Bürger","1936-12-06","Hamburg","2017-08-11","Berlin"
"tho37","Hunter S.","Thompson","1937-07-18","Louisville/KY","2005-02-20","Aspen/CO"
"hig38","Dick","Higgins","1938-03-15","Cambridge","1998-10-25","Québec"
"kit43","Friedrich","Kittler","1943-06-12","Rochlitz","2011-10-18","Berlin"
"ste46","Stephan","Alexander","1946-08-16","Lüdenscheid","2009-05-29","Berlin"
"bar47","John Perry","Barlow","1947-10-03","Sublette County/WY","2018-02-07","San Francisco/CA"
"enz29","Hans Magnus","Enzensberger","1929-11-11","Kaufbeuren","",""
"vir32","Paul","Virilio","1932-01-04","Paris","",""
"sea32","John","Searle","1932-07-31","Denver, Colorado","",""
"bel34","Gordon","Bell","1934-08-16","Kirksville, Missouri","",""
"zim34","Dieter E.","Zimmer","1934-11-24","Berlin"," "," "
"dun36","Carol","Duncan","1936-10-11","Chicago"," "," "
"jae37","Gottfried","Jäger","1937-05-13","Burg"," "," "
"sti37","Gerhard","Stickel","1937","Bochum","",""
"bra38","Stewart","Brand","1938-12-14","Rockford/IL"," "," "
"nel37","Theodor H.","Nelson","1937-06-17","Chicago, Illinois","",""
"sut38","Ivan","Sutherland","1938-05-16","Hastings, Nebraska","",""
"knu38","Donald E.","Knuth","1938-01-10","Milwaukee, Wisconsin","",""
"fri38","Frieder","Nake","1938-12-16","Stuttgart","",""
"coe40","J. M.","Coetzee","1940-02-09","Kapstadt","",""
"kay40","Alan","Kay","1940-05-17","Springfield, Massachusetts","",""
"sch40","Siegfried J.","Schmidt","1940-10-28","Jülich","",""
"die41","Eberhard","Diepgen","1941-11-13","Berlin"," "," "
"blo43","Howard","Howard Bloom","1943-06-25","Buffalo, New York","",""
"jay44","Martin","Jay","1944-05-04","New York City","",""
"kid45","Tracy","Kidder","1945-11-12","New York City","",""
"kin47","Stephan","King","1947-09-21","Portland/ME","",""
"slo47","Peter","Sloterdijk","1947-06-26","Karlsruhe","",""
"dor50","Goran","Dordevic","1950","Dragas"," "," "
"kel52","Kevin","Kelly","1952-08-14","Pennsylvania","",""
"coo53","Dennis","Cooper","1953-01-10","Pasadena/CA"," "," "
"goe54","Rainald","Goetz","1954-05-24","München","",""
"ber55","Tim","Berners-Lee","1955-06-08","London","",""
"gat55","Bill","Gates","1955-10-28","Seattle, Washington","",""
"dan57","Dieter","Daniels","1957","Bonn"," "," "
"die57","Diedrich","Diederichsen","1957-08-15","Hamburg"," "," "
"det59","Heinrich","Detering","1959-11-01","Neumünster","",""
"hey60","Francis","Heylighen","1960","","",""
"gol61","Kenneth","Goldsmith","1961-06-04","Freeport/NY"," "," "
"dom66","Monika","Dommann","1966-05-30","Walchwil"," "," "
"cra69","Florian","Cramer","1969","Berlin"," "," "
"bun71","Mercedes","Bunz","1971-11-16","Magdeburg"," "," "
"baj84","Hannes","Bajohr","1984","Berlin"," "," "
